x,y
289.0,238.0
288.47921588457626,242.52078411542374
287.0,246.64457279345524
286.0,250.96685919018284
282.38132963237234,253.61867036762766
278.2169951411081,255.0
273.8947087443805,254.0
269.5724223476529,253.0
264.83592238855215,253.0
260.5136359918246,252.0
255.77713603272383,252.0
251.04063607362312,252.0
246.7183496768955,251.0
241.9818497177948,251.0
237.6595633210672,250.0
232.92306336196646,250.0
228.60077696523885,249.0
223.86427700613814,249.0
219.3832452352536,248.3832452352536
214.80549065030982,248.0
210.4832042535822,247.0
205.82089288898243,246.82089288898243
201.42441789775387,246.0
197.10213150102624,245.0
192.36563154192555,245.0
187.6291315828248,245.0
182.89263162372413,245.0
179.0,247.0154412106304
178.0,251.337727607358
178.0,256.0742275664587
177.0,260.3965139631863
177.0,265.13301392228703
176.0,269.45530031901467
175.0,273.77758671574225
174.6364858261009,278.3635141738991
172.57784049080254,282.0
170.0,284.1586594682982
170.0,288.8951594273989
170.0,293.63165938649956
170.0,298.3681593456003
170.0,303.10465930470104
170.0,307.8411592638017
170.0,312.5776592229024
170.0,317.31415918200315
170.0,322.0506591411039
170.0,326.7871591002046
170.0,331.52365905930526
170.0,336.260159018406
170.0,340.9966589775067
170.0,345.7331589366074
170.0,350.4696588957081
170.0,355.2061588548088
170.0,359.94265881390953
170.0,364.6791587730103
170.0,369.41565873211096
170.0,374.1521586912117
170.0,378.8886586503124
171.62515860941312,382.0
175.9474450061407,383.0
180.68394496524144,383.0
185.42044492434212,383.0
189.74273132106975,384.0
194.47923128017044,384.0
198.80151767689807,385.0
203.12380407362565,386.0
207.86030403272633,386.0
212.18259042945397,387.0
216.91909038855465,387.0
221.6555903476554,387.0
226.27724971474473,387.27724971474476
230.50514061135502,388.50514061135505
234.62244953783818,390.0
239.35894949693892,390.0
243.6812358936665,391.0
248.41773585276724,391.0
253.15423581186792,391.0
257.89073577096866,391.0
262.21302216769624,392.0
266.0856270971179,394.0856270971179
268.0,398.02916783640524
268.5414088903384,402.5414088903384
270.0,406.67374062986045
272.0,410.581813464215
275.0756727361964,414.0
279.39795913292403,415.0
284.1344590920247,415.0
288.87095905112545,415.0
293.19324544785303,416.0
297.92974540695377,416.0
302.66624536605445,416.0
307.2847839505084,416.2847839505084
311.7250317218828,417.0
316.0473181186104,418.0
320.369604515338,419.0
325.1061044744387,419.0
329.8426044335394,419.0
334.164890830267,420.0
338.9013907893677,420.0
343.2236771860953,421.0
347.54596358282294,422.0
352.2824635419236,422.0
356.60474993865125,423.0
361.34124989775194,423.0
366.0777498568527,423.0
370.40003625358025,424.0
375.136536212681,424.0
379.8730361717817,424.0
384.1953225685093,425.0
388.5176089652369,426.0
393.2541089243375,426.0
397.5763953210652,427.0
402.3128952801659,427.0
407.0493952392666,427.0
411.37168163599415,428.0
415.69396803272184,429.0
420.4304679918225,429.0
424.7527543885501,430.0
429.4892543476508,430.0
433.8115407443785,431.0
438.54804070347916,431.0
442.6154141944066,432.6154141944066
444.55041187220337,436.55041187220337
445.1006863312889,441.0
449.4229727280165,442.0
454.15947268711716,442.0
457.0,438.93245447852837
458.0,434.6101680818007
458.0,429.8736681227
459.0,425.5513817259724
459.0,420.81488176687174
459.65168247339,416.34831752661
460.17246658881373,411.82753341118627
462.0,407.8480225766889
462.0,403.1115226175882
463.0,398.78923622086063
463.0,394.05273626175983
464.0,389.73044986503226
464.0,384.9939499059316
464.0,380.2574499468309
464.3387395122036,375.6612604877964
465.0,371.1986635910025
466.0,366.87637719427494
466.6081986396612,362.3918013603388
467.0,357.81759083844656
467.0,353.0810908793459
468.0,348.7588044826183
468.0,344.0223045235176
469.0,339.7000181267899
469.02579655101704,334.97420344898296
470.0,330.64123177096167
470.0,325.904731811861
471.0,321.5824454151333
471.0,316.8459454560326
471.0,312.1094454969319
471.0,307.37294553783124
472.0,303.05065914110355
472.0,298.31415918200287
473.0,293.9918727852753
473.0,289.2553728261746
474.0,284.9330864294469
475.0,280.61080003271934
475.0,275.87430007361866
475.0,271.137800114518
476.0,266.8155137177904
477.3583423977966,262.6416576022034
481.0,261.1709409243351
481.0,256.43444096523444
481.0,251.69794100613376
477.97273470288155,249.97273470288155
476.0,246.0533682126785
471.7310818159509,245.0
466.99458185685023,245.0
464.76827789762706,248.23172210237297
462.83328021983027,252.16671978016976
458.4419362290405,253.0
454.0846052077963,252.0846052077963
449.3831498732121,252.0
445.0430369769488,251.0430369769488
440.32436351738386,251.0
435.70857552728796,250.70857552728793
431.2655771615555,250.0
426.9432907648279,249.0
422.2067908057272,249.0
417.88450440899965,248.0
413.56221801227196,247.0
408.8257180531713,247.0
404.0892180940706,247.0
399.3527181349699,247.0
395.0215184884744,246.02151848847436
390.29393177914153,246.0
385.55743182004085,246.0
381.1662729233898,245.16627292338978
376.4986454642126,245.0
371.7621455051118,245.0
367.4398591083842,244.0
362.70335914928353,244.0
358.38107275255595,243.0
353.64457279345515,243.0
349.3222863967276,242.0
348.0,238.0
